ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00001532;;3 Frères Barthélemy;43.29314, 5.385872;;;;0;;;2
RTM-00000154;;4 Chemins des Aygalades;43.3467, 5.366183;;;;0;;;2
RTM-00000217;;5 Avenues Burel;43.317198, 5.389619;;;;0;;;2
RTM-00003085;;5 Avenues Fondère;43.301798, 5.399085;;;;0;;;2
RTM-00001955;;Aiguier Cantini;43.257998, 5.403374;;;;0;;;2
RTM-00001956;;Aiguier CNRS;43.255968, 5.40534;;;;0;;;2
RTM-00002006;;Aiguier CPCAM;43.25089, 5.41409;;;;0;;;2
RTM-00001954;;Aiguier Trioulet;43.259404, 5.40249;;;;0;;;2
RTM-00001972;;Aiguier Trioulet;43.258962, 5.40296;;;;0;;;2
RTM-00003236;;Air Bel;43.294265, 5.429054;;;;0;;;1
RTM-00003251;;Air Bel;43.294348, 5.429061;;;;0;;;1
RTM-00001164;;Allard Mireille Lauze;43.289322, 5.438519;;;;0;;;2
RTM-00003595;;Allauch Barbaraou;43.322328, 5.492946;;;;0;;;2
RTM-00001905;;Allée des Pins;43.254485, 5.420715;;;;0;;;2
RTM-00002720;;Alpes Cauvin;43.298736, 5.416232;;;;0;;;2
RTM-00002725;;Alpes Leman;43.29997, 5.415181;BOULEVARD DES ALPES  MARSEILLE 13012;;;0;;;2
RTM-00002724;;Alpes Merle;43.30131, 5.415029;BOULEVARD DES ALPES  MARSEILLE 13012;;;0;;;2
RTM-00001427;;Amédée Autran;43.282099, 5.367535;;;;0;;;2
RTM-00001890;;Antide Boyer;43.265329, 5.408822;;;;0;;;2
RTM-00003699;;Archives Municipales;43.308919, 5.387063;;;;0;;;2
RTM-00003554;;Arenc Le Silo;43.313317, 5.368079;;;;0;;;1
RTM-00003795;;Arenc Mirabeau;43.312992, 5.3665477;BOULEVARD MIRABEAU  MARSEILLE 13002;;;0;;;1
RTM-00004306;;Aristarché;43.36168593, 5.35163462;DOMAINE BELLAVISTA  MARSEILLE 13015;;;0;;;2
RTM-00004310;;Aristarché;43.36146459, 5.35176605;DOMAINE BELLAVISTA  MARSEILLE 13015;;;0;;;2
RTM-00000544;;Arnavaux Jaurès;43.332597, 5.380561;;;;0;;;2
RTM-00000545;;Arnavaux Tisseron;43.332858, 5.378887;;;;0;;;2
