titre,description,nom_lieu,adresse,ville,code_postal,latitude,longitude,date_debut,date_fin
Concert & repas de soutien: Roms dans la guerre en Ukraine,♫♫♫,La Dar Centre Social Autogéré,"127, rue d'Aubagne 13006 Marseille",Marseille,13006,43.293333,5.382115,2025-04-10 19:00:00+02:00,2025-04-10 22:30:00+02:00
DESCARGAS CUBANAS #4,♫♫♫,Club 27,"27, rue d'Anvers13004 Marseille",Marseille,13004,43.303056,5.395165,2025-04-10 19:00:00+02:00,2025-04-10 22:00:00+02:00
Swinging Papy's,♫JAZZ♫,L'arlequin,"1, rue Missiri 13013 Marseille",Marseille,13014,43.355711,5.410335,2025-04-10 19:30:00+02:00,2025-04-10 23:59:00+02:00
LocoMuerte kami no ikari Rising All Star,♫TRASH PUNK METAL♫,Makeda,"103 rue Ferrari, 13005 Marseille",Marseille,13005,43.293709,5.391759,2025-04-10 19:30:00+02:00,2025-04-10 23:00:00+02:00
Jam open Mic / Concert,♫♫♫,Bar de La Plaine,"57 Place Jean Jaurès, 13005 Marseille",Marseille,13005,43.293987,5.386669,2025-04-10 20:00:00+02:00,2025-04-11 01:00:00+02:00
Kind of Jazz,♫JAZZ SOUL♫,Pizze & Sfizi,"153, rue Sainte 13007 Marseille",Marseille,13007,43.290652,5.366592,2025-04-10 20:00:00+02:00,2025-04-10 22:30:00+02:00
YSEULT,♫♫♫,Espace Julien,"39 cours Julien, 13006 Marseille",Marseille,13006,43.29431,5.383435,2025-04-10 20:00:00+02:00,2025-04-10 22:30:00+02:00
The Heartbeats,♫♫♫,Massilia Pub,"3, rue Crudère, 13006 Marseille",Marseille,13006,43.294277,5.383839,2025-04-10 20:00:00+02:00,2025-04-10 22:00:00+02:00
LES SALES MAJESTÉS + Guest,♫PUNK♫,Le Molotov,"3, place Paul Cezanne, 13006 Marseille",Marseille,13006,43.292708,5.383167,2025-04-10 20:30:00+02:00,2025-04-10 23:59:00+02:00
Mr Apollo (acoustique),♫♫♫,oliver Pub,"50 Rue Gaston de Flotte, 13012 Marseille",Marseille,13012,43.296779,5.427545,2025-04-10 20:30:00+02:00,2025-04-10 23:00:00+02:00
NOURA MINT SEYMALI TRIO,♫♫♫,Cité de la musique,4 rue Bernard du Bois 13001 Marseille,Marseille,13232,43.301517,5.375629,2025-04-10 20:30:00+02:00,2025-04-10 22:30:00+02:00
Dominique A,♫♫♫,le Silo,"35 quai du Lazaret, 13002 Marseille",Marseille,13002,43.310347,5.367188,2025-04-10 20:30:00+02:00,2025-04-10 22:30:00+02:00
Duo Klezmer,♫♫♫,Bistrot Baya,23 bd National 13001 Marseille,Marseille,13001,43.302229,5.386899,2025-04-10 20:30:00+02:00,2025-04-10 22:30:00+02:00
Trio NÓTA,♫♫♫,La Salle Musicatreize,"53 rue Grignan, 13006 Marseille",Marseille,13006,43.291709,5.375849,2025-04-10 20:30:00+02:00,2025-04-10 22:30:00+02:00
SPLEEN / COLD STRESS / INSOMINDS,♫Hardcore♫,L'intermediaire,"63 Place Jean Jaurès, 13006 Marseille",Marseille,13006,43.293997,5.386567,2025-04-10 21:00:00+02:00,2025-04-10 23:59:00+02:00
"Perreoland by DJ Lina présente, Calle pero Elegante",♫♫♫,La Dame du Mont,"30-32 Place Notre Dame Du mont, 13006 Marseille",Marseille,13006,43.291527,5.384469,2025-04-10 21:30:00+02:00,2025-04-11 01:30:00+02:00
Trae Joly,♫DJ SET batida/bouillon/bass musuc ♫,La Mer Veilleuse,"18 place Notre-Dame du Mont, 13006 Marseille",Marseille,13006,43.291893,5.383991,2025-04-10 22:30:00+02:00,2025-04-11 01:30:00+02:00
RÉSIDENCE APPLAUSE: Rebequita,♫♫♫,Les Réformés,125 LA CANEBIÈRE 13001 Marseille,Marseille,13001,43.298532,5.382909,2025-04-10 23:00:00+02:00,2025-04-11 02:00:00+02:00
Groove Or Nothing : Mika Sardou + Vassalo,♫CLUBBING♫,Baby Club,"2 rue André Poggioli, 13006 Marseille",Marseille,13006,43.293548,5.385247,2025-04-10 23:55:00+02:00,2025-04-11 06:00:00+02:00
Madame Loyal,♫♫♫,parc chanot,Rond point du Prado 13008 Marseille,Marseille,13008,43.272517,5.391509,2025-04-11 19:00:00+02:00,2025-04-12 05:00:00+02:00
MILONGA UNDERGROUND À LA SOCIALE + POWER TANGO TRIO,♫♫♫,Casa Consolat,"1 rue consolat, 13001 Marseille",Marseille,13001,43.299627,5.386099,2025-04-11 19:00:00+02:00,2025-04-11 23:00:00+02:00
FLATMATES 205 / LE CAROGNE / DIRTEEZ,♫♫♫,Leda Atomica Musique,"63 Rue St Pierre, 13005 Marseille",Marseille,13005,43.293167,5.389719,2025-04-11 19:00:00+02:00,2025-04-11 22:30:00+02:00
Basilic Swing,♫JAZZ MANOUCHE♫,Club 27,"27, rue d'Anvers13004 Marseille",Marseille,13004,43.303056,5.395165,2025-04-11 19:00:00+02:00,2025-04-11 22:00:00+02:00
Mehtoze,♫DJ SET AFTER WORK♫,Boisson soiffe,8 rue Lafayette 13301 Marseille,Marseille,13001,43.300122,5.381681,2025-04-11 19:00:00+02:00,2025-04-11 21:00:00+02:00
Anniversaire Radio Chourmo avec Le Massilia Reggae Club,♫♫♫,La Maison Hantée,"10 rue Vian, 13006 Marseille",Marseille,13006,43.294517,5.383679,2025-04-11 19:30:00+02:00,2025-04-11 23:59:00+02:00
Blue Men's Field,♫JAZZY LOUNGE♫,Le Cloître,20 bd madeleine rémusat 13013 Marseille,Marseille,13013,43.335634,5.423801,2025-04-11 19:30:00+02:00,2025-04-11 22:00:00+02:00
SIGURD,♫OPÉRA♫,Opéra de Marseille,"2 Rue Molière, 13001 Marseille",Marseille,13001,43.293627,5.376049,2025-04-11 20:00:00+02:00,2025-04-11 23:00:00+02:00
REALO,♫RAP♫,l'affranchi,"212 bd de St Marcel, 13011 Marseille",Marseille,13011,43.286447,5.467589,2025-04-11 20:00:00+02:00,2025-04-11 23:00:00+02:00
Johnny Barrel Country Band,♫♫♫,Les 9 Salopards,"2, rue Crudère 13006 Marseille",Marseille,13000,43.294137,5.383754,2025-04-11 20:00:00+02:00,2025-04-11 23:00:00+02:00
Festival en soutien à la Dar,♫♫♫,La Dar Centre Social Autogéré,"127, rue d'Aubagne 13006 Marseille",Marseille,13006,43.293333,5.382115,2025-04-11 20:30:00+02:00,2025-04-12 00:30:00+02:00
Dealers of Swing,♫♫♫,la Caravelle,"34 quai du Port, 13002 Marseille",Marseille,13002,43.296497,5.371989,2025-04-11 20:30:00+02:00,2025-04-11 23:30:00+02:00
