Titre,Description,Horaires ISO,Horaires détaillés,Dernière date,Lieu: Nom,Lieu: Adresse,Lieu: Ville,Lieu: Code postal,Lieu: Latitude,Lieu: Longitude
Concert & repas de soutien: Roms dans la guerre en Ukraine,♫♫♫,2025-04-10T19:00:00+02:00 -> 2025-04-10T22:30:00+02:00,jeudi 10 avril 2025 - 19:00 ⤏ 22:30,jeudi 10 avril 2025,La Dar Centre Social Autogéré,"127, rue d'Aubagne 13006 Marseille",Marseille,13006,43.293333,5.382115
DESCARGAS CUBANAS #4,♫♫♫,2025-04-10T19:00:00+02:00 -> 2025-04-10T22:00:00+02:00,jeudi 10 avril 2025 - 19:00 ⤏ 22:00,jeudi 10 avril 2025,Club 27,"27, rue d'Anvers13004 Marseille",Marseille,13004,43.303056,5.395165
Jam du BDE de Musicologie d’Aix,♫♫♫,2025-04-10T19:00:00+02:00 -> 2025-04-10T22:00:00+02:00,jeudi 10 avril 2025 - 19:00 ⤏ 22:00,jeudi 10 avril 2025,Le 3C Café culturel citoyen,23 Boulevard Carnot  13100 Aix-en-Provence,Aix-en-Provence,13090,43.525847,5.454679
"Swinging Papy's",♫JAZZ♫,2025-04-10T19:30:00+02:00 -> 2025-04-10T23:59:00+02:00,jeudi 10 avril 2025 - 19:30 ⤏ 23:59,jeudi 10 avril 2025,"L'arlequin","1, rue Missiri 13013 Marseille",Marseille,13014,43.355711,5.410335
LocoMuerte kami no ikari Rising All Star,♫TRASH PUNK METAL♫,2025-04-10T19:30:00+02:00 -> 2025-04-10T23:00:00+02:00,jeudi 10 avril 2025 - 19:30 ⤏ 23:00,jeudi 10 avril 2025,Makeda,"103 rue Ferrari, 13005 Marseille",Marseille,13005,43.293709,5.391759
Jam open Mic / Concert,♫♫♫,2025-04-10T20:00:00+02:00 -> 2025-04-11T01:00:00+02:00,jeudi 10 avril 2025 - 20:00 ⤏ 01:00,jeudi 10 avril 2025,Bar de La Plaine,"57 Place Jean Jaurès, 13005 Marseille",Marseille,13005,43.293987,5.386669
Les jeudis Jam Sessions,♫♫♫,2025-04-10T20:00:00+02:00 -> 2025-04-10T23:00:00+02:00,jeudi 10 avril 2025 - 20:00 ⤏ 23:00,jeudi 10 avril 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
Kind of Jazz,♫JAZZ SOUL♫,2025-04-10T20:00:00+02:00 -> 2025-04-10T22:30:00+02:00,jeudi 10 avril 2025 - 20:00 ⤏ 22:30,jeudi 10 avril 2025,Pizze & Sfizi,"153, rue Sainte 13007 Marseille",Marseille,13007,43.290652,5.366592
YSEULT,♫♫♫,2025-04-10T20:00:00+02:00 -> 2025-04-10T22:30:00+02:00,jeudi 10 avril 2025 - 20:00 ⤏ 22:30,jeudi 10 avril 2025,Espace Julien,"39 cours Julien, 13006 Marseille",Marseille,13006,43.29431,5.383435
The Heartbeats,♫♫♫,2025-04-10T20:00:00+02:00 -> 2025-04-10T22:00:00+02:00,jeudi 10 avril 2025 - 20:00 ⤏ 22:00,jeudi 10 avril 2025,Massilia Pub,"3, rue Crudère, 13006 Marseille",Marseille,13006,43.294277,5.383839
LES SALES MAJESTÉS + Guest,♫PUNK♫,2025-04-10T20:30:00+02:00 -> 2025-04-10T23:59:00+02:00,jeudi 10 avril 2025 - 20:30 ⤏ 23:59,jeudi 10 avril 2025,Le Molotov,"3, place Paul Cezanne, 13006 Marseille",Marseille,13006,43.292708,5.383167
"MIKE PACHELLI TRIO / JACKIE'S GUITAR PROJECT",♫♫♫,2025-04-10T20:30:00+02:00 -> 2025-04-10T23:30:00+02:00,jeudi 10 avril 2025 - 20:30 ⤏ 23:30,jeudi 10 avril 2025,Cherrydon,"7 chemin de saint lambert, 13821 La Penne-sur-Huveaune",La Penne-sur-Huveaune,13821,43.285667,5.51729
STONY STONE + AJNA + EKLOZ,♫RAP HIP-HOP♫,2025-04-10T20:30:00+02:00 -> 2025-04-10T23:30:00+02:00,jeudi 10 avril 2025 - 20:30 ⤏ 23:30,jeudi 10 avril 2025,6Mic,"Chemin des Aubépines, 13090 Aix-en-Provence",Aix-en-Provence,13097,43.517428,5.424721
Fabien Brassac Duo,♫POP ROCK BLUES♫,2025-04-10T20:30:00+02:00 -> 2025-04-10T23:00:00+02:00,jeudi 10 avril 2025 - 20:30 ⤏ 23:00,jeudi 10 avril 2025,"L'Abbaye Bar à Bière","60 avenue de la grande begude, 13770 Venelles",Venelles,13770,43.588568,5.477656
Mr Apollo (acoustique),♫♫♫,2025-04-10T20:30:00+02:00 -> 2025-04-10T23:00:00+02:00,jeudi 10 avril 2025 - 20:30 ⤏ 23:00,jeudi 10 avril 2025,oliver Pub,"50 Rue Gaston de Flotte, 13012 Marseille",Marseille,13012,43.296779,5.427545
