ID;Short Name;Long Name;Route Type;Color;geo_point_2d;stop_ids
RTM-9;5;Métro La Rose - La Parade;Bus;009FE3;43.3483325862666, 5.431982168346154;['RTM-00003930', 'RTM-00003931', 'RTM-00000738', 'RTM-00000731', 'RTM-00000677', 'RTM-00000679', 'RTM-00000681', 'RTM-00000681', 'RTM-00000681', 'RTM-00000683', 'RTM-00000687', 'RTM-00000688', 'RTM-00000694', 'RTM-00000692', 'RTM-00000694', 'RTM-00000694', 'RTM-00000695', 'RTM-00000695', 'RTM-00000696', 'RTM-00000700', 'RTM-00000681', 'RTM-00000703', 'RTM-00000705', 'RTM-00000708', 'RTM-00000710', 'RTM-00000735', 'RTM-00000736', 'RTM-00000737', 'RTM-00000731', 'RTM-00000738', 'RTM-00003934']
RTM-14;6;Foch 5 Avenues - Bois Lemaître;Bus;F39200;43.316221549157035, 5.422954536981096;['RTM-00003349', 'RTM-00000745', 'RTM-00000801', 'RTM-00000795', 'RTM-00000757', 'RTM-00000794', 'RTM-00000759', 'RTM-00000760', 'RTM-00000769', 'RTM-00000775', 'RTM-00000777', 'RTM-00000779', 'RTM-00000780', 'RTM-00000781', 'RTM-00000786', 'RTM-00000786', 'RTM-00000786', 'RTM-00003349', 'RTM-00000745', 'RTM-00000801', 'RTM-00000795', 'RTM-00000757', 'RTM-00000794', 'RTM-00000759', 'RTM-00000760', 'RTM-00000769', 'RTM-00000775', 'RTM-00000789', 'RTM-00000790', 'RTM-00000792', 'RTM-00000793', 'RTM-00000794', 'RTM-00000795', 'RTM-00000795', 'RTM-00000797', 'RTM-00000798', 'RTM-00000801', 'RTM-00003097', 'RTM-00002017', 'RTM-00004464', 'RTM-00003087', 'RTM-00003349']
RTM-19;7T;Foch 5 Avenues - Allauch Barbaraou;Bus;FBBA00;43.3133447830113, 5.448275151358195;['RTM-00003133', 'RTM-00000858', 'RTM-00000814', 'RTM-00000816', 'RTM-00000854', 'RTM-00002922', 'RTM-00003677', 'RTM-00003682', 'RTM-00003682', 'RTM-00003678', 'RTM-00000820', 'RTM-00000845', 'RTM-00000826', 'RTM-00000826', 'RTM-00000828', 'RTM-00000836', 'RTM-00003589', 'RTM-00003590', 'RTM-00003600', 'RTM-00003593', 'RTM-00003625', 'RTM-00003625', 'RTM-00003595', 'RTM-00003595', 'RTM-00003595', 'RTM-00003595', 'RTM-00003626', 'RTM-00003598', 'RTM-00003599', 'RTM-00000836', 'RTM-00000836', 'RTM-00000826', 'RTM-00000843', 'RTM-00000845', 'RTM-00000845', 'RTM-00000847', 'RTM-00000848', 'RTM-00000849', 'RTM-00000850', 'RTM-00003679', 'RTM-00000941', 'RTM-00000853', 'RTM-00000854', 'RTM-00000859', 'RTM-00004464', 'RTM-00003087', 'RTM-00003349']
RTM-13;9;Les Caillols Centre Urbain - St Julien;Bus;189B52;43.305672990451576, 5.437046782579662;['RTM-00000929', 'RTM-00000930', 'RTM-00000936', 'RTM-00002677', 'RTM-00000917', 'RTM-00000939', 'RTM-00000939', 'RTM-00003762', 'RTM-00000902', 'RTM-00000879', 'RTM-00000880', 'RTM-00000880', 'RTM-00000898', 'RTM-00000881', 'RTM-00000884', 'RTM-00000889', 'RTM-00000929', 'RTM-00000930', 'RTM-00000936', 'RTM-00002677', 'RTM-00000917', 'RTM-00000939', 'RTM-00000939', 'RTM-00003682', 'RTM-00000939', 'RTM-00000916', 'RTM-00000917', 'RTM-00000917', 'RTM-00002677', 'RTM-00000918', 'RTM-00000934', 'RTM-00000923', 'RTM-00000923', 'RTM-00000923', 'RTM-00002732', 'RTM-00000884', 'RTM-00000898', 'RTM-00000898', 'RTM-00000880', 'RTM-00000899', 'RTM-00000901', 'RTM-00000902', 'RTM-00000902', 'RTM-00000902', 'RTM-00000875', 'RTM-00002922', 'RTM-00003677', 'RTM-00003682', 'RTM-00000939', 'RTM-00000916', 'RTM-00000917', 'RTM-00000917', 'RTM-00002677', 'RTM-00000918', 'RTM-00000934', 'RTM-00000923', 'RTM-00000923', 'RTM-00000923']
AUB-10;10;Gare Aubagne - Font de Mai - La Treille;Bus;E8378D;43.299351356684625, 5.534774999843114;['RTM-00001222', 'RTM-00001191', 'RTM-00001180', 'RTM-00001181', 'RTM-00001184', 'RTM-00001185', 'RTM-00001184', 'RTM-00003167', 'RTM-00003167', 'RTM-00003167', 'RTM-00001191', 'RTM-00001218']
RTM-57;12B;Métro La Timone - Les Camoins;Bus;007BC4;43.29323424558915, 5.459160421683122;['RTM-00003091', 'RTM-00001212', 'RTM-00001159', 'RTM-00001161', 'RTM-00001163', 'RTM-00000929', 'RTM-00002624', 'RTM-00001169', 'RTM-00001170', 'RTM-00001171', 'RTM-00001172', 'RTM-00000644', 'RTM-00000644', 'RTM-00001196', 'RTM-00002812', 'RTM-00002811', 'RTM-00001191', 'RTM-00004422', 'RTM-00001232', 'RTM-00003091', 'RTM-00003091', 'RTM-00001212', 'RTM-00001159', 'RTM-00001161', 'RTM-00001163', 'RTM-00000929', 'RTM-00002624', 'RTM-00001169', 'RTM-00001170', 'RTM-00001171', 'RTM-00001172', 'RTM-00000644', 'RTM-00000644', 'RTM-00001196', 'RTM-00002812', 'RTM-00002811', 'RTM-00001191', 'RTM-00001180', 'RTM-00003167', 'RTM-00001191', 'RTM-00001193', 'RTM-00001194', 'RTM-00002812', 'RTM-00002812', 'RTM-00001195', 'RTM-00001196', 'RTM-00000644', 'RTM-00000635', 'RTM-00001199', 'RTM-00001200', 'RTM-00001170', 'RTM-00001169', 'RTM-00001204', 'RTM-00001205', 'RTM-00001206', 'RTM-00001208', 'RTM-00001211', 'RTM-00001212', 'RTM-00001212', 'RTM-00003091', 'RTM-00001252', 'RTM-00004424', 'RTM-00002442', 'RTM-00002442', 'RTM-00001180', 'RTM-00003167', 'RTM-00001191', 'RTM-00001193', 'RTM-00001194', 'RTM-00002812', 'RTM-00002812', 'RTM-00001195', 'RTM-00001196', 'RTM-00000644', 'RTM-00000635', 'RTM-00001199', 'RTM-00001200', 'RTM-00001170', 'RTM-00001169', 'RTM-00001204', 'RTM-00001205', 'RTM-00001206', 'RTM-00001208', 'RTM-00001211', 'RTM-00001212', 'RTM-00001212', 'RTM-00003091']
RTM-61;15S;Sainte-Marguerite Dromel - La Valentelle;Bus;BD1D1D;43.285918071424874, 5.454829506664789;['RTM-00001622', 'RTM-00001592', 'RTM-00001275', 'RTM-00001626', 'RTM-00001627', 'RTM-00001628', 'RTM-00001629', 'RTM-00001282', 'RTM-00001283', 'RTM-00001283', 'RTM-00001284', 'RTM-00001285', 'RTM-00001322', 'RTM-00001376', 'RTM-00001325', 'RTM-00001374', 'RTM-00001328', 'RTM-00001395', 'RTM-00000638', 'RTM-00002507', 'RTM-00001282', 'RTM-00001283', 'RTM-00001283', 'RTM-00001284', 'RTM-00001285', 'RTM-00001322', 'RTM-00001376', 'RTM-00001325', 'RTM-00001374', 'RTM-00001328', 'RTM-00001395', 'RTM-00000638', 'RTM-00002507', 'RTM-00000638', 'RTM-00001383', 'RTM-00001373', 'RTM-00001374', 'RTM-00001374', 'RTM-00001375', 'RTM-00002606', 'RTM-00002606', 'RTM-00002606', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001378', 'RTM-00001294', 'RTM-00001295', 'RTM-00001283', 'RTM-00001296', 'RTM-00001631', 'RTM-00001306', 'RTM-00001637', 'RTM-00001637', 'RTM-00001637', 'RTM-00001638', 'RTM-00000638', 'RTM-00001383', 'RTM-00001373', 'RTM-00001374', 'RTM-00001374', 'RTM-00001375', 'RTM-00002606', 'RTM-00002606', 'RTM-00002606', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001378', 'RTM-00001294', 'RTM-00001295', 'RTM-00001283', 'RTM-00001296']
RTM-60;15;Sainte-Marguerite Dromel - Les Escourtines;Bus;BD1D1D;43.28315822985606, 5.459124805832038;['RTM-00001282', 'RTM-00001283', 'RTM-00001283', 'RTM-00001284', 'RTM-00001285', 'RTM-00001322', 'RTM-00001376', 'RTM-00001325', 'RTM-00001374', 'RTM-00001328', 'RTM-00001329', 'RTM-00001333', 'RTM-00001622', 'RTM-00001592', 'RTM-00001275', 'RTM-00001626', 'RTM-00001627', 'RTM-00001628', 'RTM-00001629', 'RTM-00001282', 'RTM-00001283', 'RTM-00001283', 'RTM-00001284', 'RTM-00001285', 'RTM-00001322', 'RTM-00001376', 'RTM-00001325', 'RTM-00001374', 'RTM-00001328', 'RTM-00001329', 'RTM-00001333', 'RTM-00001390', 'RTM-00001391', 'RTM-00001366', 'RTM-00001369', 'RTM-00001373', 'RTM-00001374', 'RTM-00001374', 'RTM-00001375', 'RTM-00002606', 'RTM-00002606', 'RTM-00002606', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001378', 'RTM-00001294', 'RTM-00001295', 'RTM-00001283', 'RTM-00001296', 'RTM-00001631', 'RTM-00001306', 'RTM-00001637', 'RTM-00001637', 'RTM-00001637', 'RTM-00001638', 'RTM-00001637', 'RTM-00001637', 'RTM-00001637', 'RTM-00001638', 'RTM-00001390', 'RTM-00001391', 'RTM-00001366', 'RTM-00001369', 'RTM-00001373', 'RTM-00001374', 'RTM-00001374', 'RTM-00001375', 'RTM-00002606', 'RTM-00002606', 'RTM-00002606', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001376', 'RTM-00001378', 'RTM-00001294', 'RTM-00001295', 'RTM-00001283', 'RTM-00001296']
RTM-88;22;Métro Rond Point du Prado - Les Baumettes;Bus;E63323;43.24753877440017, 5.40307206680905;['RTM-00001799', 'RTM-00001801', 'RTM-00001802', 'RTM-00001804', 'RTM-00001804', 'RTM-00001819', 'RTM-00001806', 'RTM-00001806', 'RTM-00001806', 'RTM-00004112', 'RTM-00001752', 'RTM-00001797', 'RTM-00001798', 'RTM-00001799', 'RTM-00001799', 'RTM-00001799', 'RTM-00001801', 'RTM-00001802', 'RTM-00001804', 'RTM-00001804', 'RTM-00001819', 'RTM-00001806', 'RTM-00001806', 'RTM-00001806', 'RTM-00004112', 'RTM-00001752', 'RTM-00001797', 'RTM-00001798', 'RTM-00001799', 'RTM-00001799', 'RTM-00001799', 'RTM-00001801', 'RTM-00001802', 'RTM-00001804', 'RTM-00001804', 'RTM-00001819', 'RTM-00001806', 'RTM-00001806', 'RTM-00001806', 'RTM-00001830', 'RTM-00001830', 'RTM-00001831', 'RTM-00001832', 'RTM-00001834', 'RTM-00001833', 'RTM-00001834', 'RTM-00001833', 'RTM-00001834', 'RTM-00001834', 'RTM-00001834', 'RTM-00001834', 'RTM-00001831', 'RTM-00001813', 'RTM-00001830', 'RTM-00001830', 'RTM-00001831', 'RTM-00001832', 'RTM-00001834', 'RTM-00001833', 'RTM-00001834', 'RTM-00001833', 'RTM-00001834', 'RTM-00001834', 'RTM-00001834', 'RTM-00001834', 'RTM-00001831', 'RTM-00002659', 'RTM-00001817', 'RTM-00001819', 'RTM-00001819', 'RTM-00001822', 'RTM-00001801', 'RTM-00001827', 'RTM-00001827', 'RTM-00001828', 'RTM-00001828', 'RTM-00002440', 'RTM-00001753', 'RTM-00001813', 'RTM-00002659', 'RTM-00001817', 'RTM-00001819', 'RTM-00001819', 'RTM-00001822', 'RTM-00001801', 'RTM-00001827', 'RTM-00001827', 'RTM-00001828', 'RTM-00001828', 'RTM-00002440', 'RTM-00001753']
RTM-92;24;Sainte-Marguerite Dromel - Campus de Luminy;Bus;E30613;43.25233211742305, 5.422472433367295;['RTM-00001889', 'RTM-00001891', 'RTM-00001898', 'RTM-00001898', 'RTM-00001898', 'RTM-00001899', 'RTM-00001899', 'RTM-00001889', 'RTM-00001891', 'RTM-00001898', 'RTM-00001898', 'RTM-00001898', 'RTM-00001899', 'RTM-00001899', 'RTM-00001764', 'RTM-00001765', 'RTM-00004350', 'RTM-00001889', 'RTM-00001891', 'RTM-00001898', 'RTM-00001898', 'RTM-00001898', 'RTM-00001899', 'RTM-00001899', 'RTM-00001764', 'RTM-00001765', 'RTM-00001901', 'RTM-00001899', 'RTM-00001899', 'RTM-00001898', 'RTM-00001901', 'RTM-00001899', 'RTM-00001899', 'RTM-00001898', 'RTM-00001901', 'RTM-00001899', 'RTM-00001899', 'RTM-00001898']
